ID,InstallYear,Diameter,Length,Material,ExpBreak (Target),Age2018
37260,1996,2,574.17,14,1,22
13986,1986,4,1123.21,4,1,32
13986,1986,4,1123.21,4,1,32
4582,1980,2,107.85,12,1,38
31809,1980,2,132.37,12,1,38
20047,1974,8,18,6,1,44
13792,1965,6,18,6,1,53
34006,1965,6,18,6,1,53
34006,1965,6,18,6,1,53
34006,1965,6,18,6,1,53
18022,1963,4,704.23,0,1,55
16926,1956,4,664.45,3,1,62
18023,1956,4,752.7,0,1,62
28842,1956,1,204.25,3,1,62
32612,1956,2,335.88,14,1,62
3748,1955,2,496.73,14,1,63
1864,1955,6,339.59,0,1,63
17995,1955,4,785.01,0,1,63
31812,1955,2,229.12,14,1,63
31812,1955,2,229.12,14,1,63
40174,1955,4,16.7,0,1,63
19798,1954,4,660.45,3,1,64
19798,1954,4,660.45,3,1,64
29214,1945,2,398.6,14,1,73
11452,1945,2,283.44,14,1,73
6885,1944,6,369.37,3,1,74
6885,1944,6,369.37,3,1,74
25290,1944,2,284.85,14,1,74
41526,1944,0,751.92,3,1,74
1681,1925,6,1.69,0,1,93
26875,1923,6,21.72,3,1,95
24620,1923,16,346.91,3,1,95
30939,1923,6,22.61,3,1,95
6889,1914,6,2.04,3,1,104
11393,1914,6,10.76,3,1,104
35388,2012,8,493.28,12,1,6
35642,2012,6,866.76,12,1,6
35642,2012,6,866.76,12,1,6
35841,2012,8,788.51,12,1,6
35841,2012,8,788.51,12,1,6
35841,2012,8,788.51,12,1,6
35841,2012,8,788.51,12,1,6
35841,2012,8,788.51,12,1,6
42167,2005,12,447.8,12,1,13
23413,2001,6,673.72,12,1,17
23413,2001,6,673.72,12,1,17
23413,2001,6,673.72,12,1,17
37933,2001,12,1347.02,12,1,17
4177,1999,12,196.09,12,1,19
2207,1995,8,311.58,12,1,23
16754,1995,8,116.81,12,1,23
20207,1995,8,232.77,12,1,23
2155,1992,8,310.12,12,1,26
2236,1992,8,307.26,12,1,26
4154,1992,8,321.53,12,1,26
36992,1992,6,15.44,6,1,26
23815,1991,12,447.21,12,1,27
23815,1991,12,447.21,12,1,27
15903,1990,8,285.26,12,1,28
21036,1988,8,378.83,12,1,30
16134,1987,12,293.16,12,1,31
22058,1987,6,603.05,6,1,31
22058,1987,6,603.05,6,1,31
19024,1985,12,1749.18,6,1,33
13710,1985,8,121.73,12,1,33
19902,1977,12,380.96,6,1,41
