ID,InstallYear,Diameter,Material,Length,Age2018,ExpBreak (Target)
41492,1995,2,5,186.15,23,1
41492,1995,2,5,186.15,23,1
21808,1992,6,3,67.88,26,1
42986,1992,2,4,122.4,26,1
43011,1992,1.25,4,79.46,26,1
17860,1986,2,4,7.78,32,1
17860,1986,2,4,7.78,32,1
15414,1983,2,6,163.75,35,1
2239,1975,2,3,382.34,43,1
4129,1967,6,1,18,51,1
22073,1967,6,1,18.72,51,1
22133,1967,6,1,21.25,51,1
37147,1967,6,1,21.03,51,1
37147,1967,6,1,21.03,51,1
37147,1967,6,1,21.03,51,1
38721,1967,6,1,11.29,51,1
5227,1965,2,6,627.27,53,1
5227,1965,2,6,627.27,53,1
38006,1965,2,6,174.79,53,1
15401,1960,2,6,69.79,58,1
15401,1960,2,6,69.79,58,1
39202,1959,2,6,785.89,59,1
32612,1956,2,6,335.88,62,1
17995,1955,4,0,785.01,63,1
29029,1945,2,6,391.21,73,1
11452,1945,2,6,283.44,73,1
17996,1945,2,6,423.85,73,1
28783,1945,2,6,202.23,73,1
25747,1945,2,6,192.95,73,1
34853,1945,4,1,1708.92,73,1
39031,1945,2,6,815.28,73,1
1879,1944,4,1,291.05,74,1
40383,1944,6,1,739.37,74,1
32066,1944,6,1,20.4,74,1
32413,1944,6,1,12.8,74,1
24061,1930,6,1,151.35,88,1
24061,1930,6,1,151.35,88,1
24061,1930,6,1,151.35,88,1
6647,1923,6,1,8.45,95,1
6648,1923,6,1,19.52,95,1
37030,1923,2,1,396.71,95,1
37030,1923,2,1,396.71,95,1
16243,1914,6,1,22.37,104,1
30221,2017,8,5,560.18,1,1
28297,2017,8,5,24.08,1,1
29873,2017,8,5,832.23,1,1
29873,2017,8,5,832.23,1,1
40334,2011,8,5,17.54,7,1
1683,1996,6,5,642.32,22,1
6802,1996,8,3,9.62,22,1
9563,1996,12,5,164.71,22,1
17730,1995,8,5,77.87,23,1
17730,1995,8,5,77.87,23,1
34364,1995,8,5,432.76,23,1
4190,1993,12,5,1315.44,25,1
23568,1992,12,5,21.51,26,1
41497,1992,8,5,310.32,26,1
42985,1992,6,4,117.45,26,1
15488,1991,12,3,1407.22,27,1
20819,1991,12,3,1275.07,27,1
13722,1991,8,5,192.14,27,1
22052,1987,6,3,7.82,31,1
17861,1986,8,3,328.32,32,1
17861,1986,8,3,328.32,32,1
10072,1985,4,3,454.73,33,1
10150,1985,4,3,111.47,33,1
35346,1985,6,3,350.98,33,1
38315,1985,12,5,43.39,33,1
39657,1985,8,5,323.44,33,1
38964,1984,6,3,419.29,34,1
23567,1980,12,5,14.51,38,1
41362,1980,6,5,1.71,38,1
21780,1976,6,3,615.94,42,1
14492,1975,6,3,300.53,43,1
14771,1974,12,3,550.95,44,1
14771,1974,12,3,550.95,44,1
14786,1974,12,3,815.66,44,1
14786,1974,12,3,815.66,44,1
38088,1974,8,3,984.32,44,1
18203,1973,8,3,18,45,1
23587,1973,6,3,431.66,45,1
1481,1972,6,3,408.54,46,1
10653,1972,6,3,411.79,46,1
32779,1972,6,3,853.97,46,1
4027,1971,12,3,431.54,47,1
15610,1971,8,3,959.68,47,1
27495,1971,12,3,264.25,47,1
15347,1970,8,1,602.74,48,1
10338,1970,16,1,303.22,48,1
10339,1970,16,1,793.52,48,1
19313,1970,12,1,777.13,48,1
39008,1968,8,1,730.02,50,1
4022,1967,12,1,483.55,51,1
5499,1967,6,1,39.62,51,1
5574,1967,8,1,512.15,51,1
5586,1967,12,1,1394.52,51,1
4107,1967,12,1,327.12,51,1
22220,1967,6,1,630.61,51,1
11878,1967,6,1,489.97,51,1
17750,1967,2.25,1,188.79,51,1
25548,1967,8,1,237.39,51,1
25554,1967,8,1,129.16,51,1
18261,1967,8,1,699.48,51,1
19402,1967,6,1,21.02,51,1
19402,1967,6,1,21.02,51,1
19409,1967,6,1,477.43,51,1
22928,1967,8,1,1322.09,51,1
38883,1967,6,1,199.4,51,1
40067,1967,6,1,433.55,51,1
40067,1967,6,1,433.55,51,1
37006,1967,6,1,19.5,51,1
38746,1967,6,1,304.64,51,1
2811,1966,6,1,615.68,52,1
13976,1966,6,1,572,52,1
16777,1966,6,1,466.88,52,1
15451,1965,8,1,68.1,53,1
19863,1965,6,1,18,53,1
20821,1965,8,1,18,53,1
18202,1965,12,1,22.72,53,1
37007,1965,6,1,19.5,53,1
39277,1965,4,1,192.63,53,1
4435,1964,6,1,752,54,1
13950,1964,6,1,445.29,54,1
40954,1964,6,1,566.73,54,1
39000,1964,2.25,1,525.68,54,1
39351,1964,6,1,831.86,54,1
39280,1963,12,1,1051.23,55,1
42976,1959,2.25,1,123.01,59,1
4505,1957,6,1,1119.44,61,1
17959,1956,6,1,3087.45,62,1
3900,1956,6,1,1266.44,62,1
3900,1956,6,1,1266.44,62,1
3900,1956,6,1,1266.44,62,1
17069,1956,4,0,1696.39,62,1
11973,1956,4,0,1424.82,62,1
19860,1956,6,1,274.54,62,1
19860,1956,6,1,274.54,62,1
19860,1956,6,1,274.54,62,1
10129,1956,6,1,781.72,62,1
10129,1956,6,1,781.72,62,1
8780,1956,8,1,564.87,62,1
40881,1956,8,1,1315.76,62,1
10301,1956,6,1,567.3,62,1
21575,1956,6,1,468.32,62,1
21598,1956,6,1,54.76,62,1
28910,1956,4,1,155.67,62,1
28910,1956,4,1,155.67,62,1
21070,1956,6,1,315.49,62,1
37467,1956,16,1,1875.06,62,1
32624,1956,6,1,32.56,62,1
38134,1956,8,1,248.28,62,1
18809,1956,4,0,441.39,62,1
18809,1956,4,0,441.39,62,1
38916,1956,20,1,1403.06,62,1
38916,1956,20,1,1403.06,62,1
34609,1956,6,1,858.63,62,1
34612,1956,6,1,229.91,62,1
38998,1956,12,1,263.74,62,1
32125,1956,6,1,242.21,62,1
4103,1955,12,1,68.23,63,1
17695,1955,6,0,1116.38,63,1
17695,1955,6,0,1116.38,63,1
20149,1955,6,1,18,63,1
34445,1955,6,1,279.57,63,1
38122,1955,8,1,32.98,63,1
34596,1955,6,0,597.61,63,1
32239,1955,6,0,467.37,63,1
32239,1955,6,0,467.37,63,1
39720,1955,6,0,463.53,63,1
39720,1955,6,0,463.53,63,1
11309,1954,6,1,362.97,64,1
11309,1954,6,1,362.97,64,1
11309,1954,6,1,362.97,64,1
11309,1954,6,1,362.97,64,1
11315,1954,6,1,26.26,64,1
11315,1954,6,1,26.26,64,1
11315,1954,6,1,26.26,64,1
19972,1954,6,1,693.45,64,1
43172,1954,4,1,636.26,64,1
43182,1954,4,1,612.96,64,1
40680,1954,6,1,556.69,64,1
9584,1945,12,6,1089.45,73,1
9584,1945,12,6,1089.45,73,1
32265,1945,2.5,6,484.97,73,1
1468,1944,6,1,1035.89,74,1
3953,1944,4,1,1288.84,74,1
11331,1944,6,1,14.5,74,1
6389,1944,6,1,968.8,74,1
6389,1944,6,1,968.8,74,1
6389,1944,6,1,968.8,74,1
34456,1944,6,1,686.55,74,1
22723,1944,6,1,348.74,74,1
22815,1944,4,1,433.9,74,1
36976,1944,6,1,347.44,74,1
38956,1944,6,1,332.64,74,1
32245,1944,6,1,894.58,74,1
27532,1935,6,0,758.78,83,1
36952,1935,8,1,14.49,83,1
